team,city,state_cd,region,stadium_lat,stadium_long,strLeague
,,DE,SA,NULL,NULL,none
Kansas City Royals,Kansas City,MO,WNC,39.051,-94.48,MLB
,,WI,ENC,NULL,NULL,none
Washington Nationals,Washington,DC,SA,38.873,-77.008,MLB
San Antonio Spurs,San Antonio,TX,WSC,29.427,-98.438,NBA
Los Angeles Clippers,Los Angeles,CA,PAC,34.043,-118.267,NBA
Oklahoma City Thunder,Oklahoma City,OK,WSC,35.463,-97.515,NBA
Minnesota Timberwolves,Minneapolis,MN,WNC,44.979,-93.276,NBA
Los Angeles Dodgers,Los Angeles,CA,PAC,34.074,-118.24,MLB
,,HI,oth,NULL,NULL,none
New York Yankees,Bronx,NY,MA,40.829,-73.926,MLB
Toronto Raptors,Toronto,Ontario,Ontario,43.643,-79.379,NBA
Pittsburgh Pirates,Pittsburgh,PA,MA,40.447,-80.006,MLB
,,CO,MNT,NULL,NULL,none
Indiana Pacers,Indianapolis,IN,ENC,39.764,-86.156,NBA
,,NM,MNT,NULL,NULL,none
Tampa Bay Rays,Tampa Bay,FL,SA,27.768,-82.653,MLB
Miami Heat,Miami,FL,SA,25.781,-80.188,NBA
,,ND,WNC,NULL,NULL,none
,,MN,WNC,NULL,NULL,none
,,MA,NE,NULL,NULL,none
,,OR,PAC,NULL,NULL,none
New York Mets,New York,NY,MA,40.757,-73.846,MLB
Milwaukee Brewers,Milwaukee,WI,ENC,43.028,-87.971,MLB
,,AZ,MNT,NULL,NULL,none
,,IL,ENC,NULL,NULL,none
Golden State Warriors,San Francisco,CA,PAC,37.768,-122.388,NBA
Milwaukee Bucks,Milwaukee,WI,ENC,43.044,-87.917,NBA
Philadelphia 76ers,Philadelphia,PA,MA,39.901,-75.172,NBA
,,PA,MA,NULL,NULL,none
,,LA,WSC,NULL,NULL,none
,,OH,ENC,NULL,NULL,none
Cleveland Cavaliers,Cleveland,OH,ENC,41.496,-81.688,NBA
,,AR,WSC,NULL,NULL,none
Miami Marlins,Miami,FL,SA,25.778,-80.22,MLB
Chicago White Sox,Chicago,IL,ENC,41.83,-87.634,MLB
,,SD,WNC,NULL,NULL,none
,,MS,ESC,NULL,NULL,none
Oakland Athletics,Oakland,CA,PAC,37.752,-122.201,MLB
,,MD,SA,NULL,NULL,none
Arizona Diamondbacks,Phoenix,AZ,MNT,33.445,-112.067,MLB
Portland Trail Blazers,Portland,OR,PAC,45.532,-122.667,NBA
,,NY,MA,NULL,NULL,none
,,NJ,MA,NULL,NULL,none
,,KY,ESC,NULL,NULL,none
,,OK,WSC,NULL,NULL,none
Dallas Mavericks,Dallas,TX,WSC,32.791,-96.81,NBA
,,AK,oth,NULL,NULL,none
,,AL,ESC,NULL,NULL,none
Cleveland Indians,Cleveland,OH,ENC,41.496,-81.685,MLB
Denver Nuggets,Denver,CO,MNT,39.749,-105.008,NBA
Brooklyn Nets,New York City,NY,MA,40.683,-73.975,NBA
Cincinnati Reds,Cincinnati,OH,ENC,39.098,-84.507,MLB
,,WV,SA,NULL,NULL,none
Phoenix Suns,Phoenix,AZ,MNT,33.446,-112.071,NBA
,,WY,MNT,NULL,NULL,none
Toronto Blue Jays,Toronto,NULL,NULL,43.641,-79.389,MLB
