name_display_full,city,address_state,venue_name,Region,Latitude,Longitude
Baltimore Orioles,Baltimore,MD,Oriole Park at Camden Yards,SA,39.28388889,-76.62166667
Boston Red Sox,Boston,MA,Fenway Park,NE,42.34625,-71.09775
Chicago White Sox,Chicago,IL,Guaranteed Rate Field,ENC,41.83,-87.63388889
Cleveland Indians,Cleveland,OH,Progressive Field,ENC,41.49583333,-81.68527778
Detroit Tigers,Detroit,MI,Comerica Park,ENC,42.33916667,-83.04861111
Houston Astros,Houston,TX,Minute Maid Park,WSC,29.75694444,-95.35555556
Kansas City Royals,Kansas City,MO,Kauffman Stadium,WNC,39.051,-94.48
Los Angeles Angels,Anaheim,CA,Angel Stadium,PAC,33.80027778,-117.88277778
Minnesota Twins,Minneapolis,MN,Target Field,WNC,44.98166667,-93.27833333
New York Yankees,Bronx,NY,Yankee Stadium,MA,40.82916667,-73.92638889
Oakland Athletics,Oakland,CA,Oakland Coliseum,PAC,37.75166667,-122.20055556
Seattle Mariners,Seattle,WA,T-Mobile Park,PAC,47.591,-122.333
Tampa Bay Rays,Tampa Bay,FL,Tropicana Field,SA,27.76833333,-82.65333333
Texas Rangers,Arlington,TX,Globe Life Field,WSC,32.74736111,-97.08416667
Toronto Blue Jays,Toronto,,Rogers Centre,,43.64138889,-79.38916667
Arizona Diamondbacks,Phoenix,AZ,Chase Field,MNT,33.44527778,-112.06694444
Atlanta Braves,Atlanta,GA,Truist Park,SA,33.89,-84.468
Chicago Cubs,Chicago,IL,Wrigley Field,ENC,41.94805556,-87.65555556
Cincinnati Reds,Cincinnati,OH,Great American Ball Park,ENC,39.0975,-84.50666667
Colorado Rockies,Denver,CO,Coors Field,MNT,39.75611111,-104.99416667
Los Angeles Dodgers,Los Angeles,CA,Dodger Stadium,PAC,34.07361111,-118.24
Miami Marlins,Miami,FL,LoanDepot Park,SA,25.77805556,-80.21972222
Milwaukee Brewers,Milwaukee,WI,American Family Field,ENC,43.02833333,-87.97111111
New York Mets,New York,NY,Citi Field,MA,40.75694444,-73.84583333
Philadelphia Phillies,Philadelphia,PA,Citizens Bank Park,MA,39.90583333,-75.16638889
Pittsburgh Pirates,Pittsburgh,PA,PNC Park,MA,40.44694444,-80.00583333
San Diego Padres,San Diego,CA,Petco Park,PAC,32.7073,-117.1566
San Francisco Giants,San Francisco,CA,Oracle Park,PAC,37.77861111,-122.38916667
St. Louis Cardinals,St. Louis,MO,Busch Stadium,WNC,38.6225,-90.19305556
Washington Nationals,Washington,DC,Nationals Park,SA,38.87277778,-77.0075
