phone_number,venue_name,franchise_code,all_star_sw,sport_code,address_city,city,name_display_full,spring_league_abbrev,time_zone_alt,sport_id,venue_id,mlb_org_id,time_zone_generic,mlb_org,last_year_of_play,league_full,home_opener_time,address_province,league_id,name_abbrev,bis_team_code,league,spring_league,base_url,address_zip,sport_code_display,mlb_org_short,time_zone,address_line1,mlb_org_brief,address_line2,season,address_line3,division_abbrev,name_display_short,team_id,active_sw,address_intl,state,address_country,mlb_org_abbrev,division,team_code,name,website_url,sport_code_name,first_year_of_play,league_abbrev,name_display_long,store_url,time_zone_text,name_short,home_opener,address_state,division_full,time_zone_num,spring_league_full,address,name_display_brief,file_code,division_id,spring_league_id,venue_short
(410) 685-9800,Oriole Park at Camden Yards,MLA,N,mlb,Baltimore,Baltimore,Baltimore Orioles,GL,America/New_York,1,2,110,ET,Baltimore Orioles,2022,American League,3:05:00 PM,,103,BAL,BAL,AL,GL,orioles.mlb.com,21201,Major League Baseball,Baltimore,ET,333 West Camden Street,Orioles,,2021,,ALE,Baltimore,110,Y,N,MD,,BAL,E,bal,Orioles,orioles.com,MLB,1901,AL,Baltimore Orioles,baltimore.orioles.mlb.com,EDT,Baltimore,2021-04-08T00:00:00,MD,American League East,-4,Grapefruit League,"333 West Camden Street&#xa;Baltimore, MD&#x9;21201",Orioles,bal,201,115,Oriole Park
(617) 267-9440,Fenway Park,BOS,N,mlb,Boston,Boston,Boston Red Sox,GL,America/New_York,1,3,111,ET,Boston Red Sox,2022,American League,2:10:00 PM,,103,BOS,BOS,AL,GL,redsox.mlb.com,2215,Major League Baseball,Boston,ET,4 Yawkey Way,Red Sox,,2021,,ALE,Boston,111,Y,N,MA,,BOS,E,bos,Red Sox,redsox.com,MLB,1901,AL,Boston Red Sox,boston.redsox.mlb.com,EDT,Boston,2021-04-02T00:00:00,MA,American League East,-4,Grapefruit League,"4 Yawkey Way&#xa;Boston, MA&#x9;2215",Red Sox,bos,201,115,Fenway Park
(312) 674-1000,Guaranteed Rate Field,CHA,N,mlb,Chicago,Chicago,Chicago White Sox,CL,America/Chicago,1,4,145,CT,Chicago White Sox,2022,American League,4:10:00 PM,,103,CWS,CWS,AL,CL,whitesox.mlb.com,60616,Major League Baseball,Chi White Sox,CT,333 West 35th Street,White Sox,,2021,,ALC,Chi White Sox,145,Y,N,IL,,CWS,C,cha,White Sox,whitesox.com,MLB,1901,AL,Chicago White Sox,chicago.whitesox.mlb.com,CDT,Chi White Sox,2021-04-08T00:00:00,IL,American League Central,-5,Cactus League,"333 West 35th Street&#xa;Chicago, IL&#x9;60616",White Sox,cws,202,114,Guaranteed Rate Fld
(216) 420-4200,Progressive Field,CLE,N,mlb,Cleveland,Cleveland,Cleveland Indians,CL,America/New_York,1,5,114,ET,Cleveland Indians,2022,American League,4:10:00 PM,,103,CLE,CLE,AL,CL,indians.mlb.com,44115,Major League Baseball,Cleveland,ET,2401 Ontario Street,Indians,,2021,,ALC,Cleveland,114,Y,N,OH,,CLE,C,cle,Indians,indians.com,MLB,1901,AL,Cleveland Indians,cleveland.indians.mlb.com,EDT,Cleveland,2021-04-05T00:00:00,OH,American League Central,-4,Cactus League,"2401 Ontario Street&#xa;Cleveland, OH&#x9;44115",Indians,cle,202,114,Progressive Field
(313) 471-2000,Comerica Park,DET,N,mlb,Detroit,Detroit,Detroit Tigers,GL,America/New_York,1,2394,116,ET,Detroit Tigers,2022,American League,1:10:00 PM,,103,DET,DET,AL,GL,tigers.mlb.com,48201,Major League Baseball,Detroit,ET,2100 Woodward Avenue,Tigers,,2021,,ALC,Detroit,116,Y,N,MI,,DET,C,det,Tigers,tigers.com,MLB,1901,AL,Detroit Tigers,detroit.tigers.mlb.com,EDT,Detroit,2021-04-01T00:00:00,MI,American League Central,-4,Grapefruit League,"2100 Woodward Avenue&#xa;Detroit, MI&#x9;48201",Tigers,det,202,115,Comerica Park
(713) 259-8000,Minute Maid Park,HOU,N,mlb,Houston,Houston,Houston Astros,GL,America/Chicago,1,2392,117,CT,Houston Astros,2022,American League,8:10:00 PM,,103,HOU,HOU,AL,GL,astros.mlb.com,77002,Major League Baseball,Houston,CT,501 Crawford Street,Astros,,2021,,ALW,Houston,117,Y,N,TX,,HOU,W,hou,Astros,astros.com,MLB,1962,AL,Houston Astros,houston.astros.mlb.com,CDT,Houston,2021-04-08T00:00:00,TX,American League West,-5,Grapefruit League,"501 Crawford Street&#xa;Houston, TX&#x9;77002",Astros,hou,200,115,Minute Maid Park
(816) 921-8000,Kauffman Stadium,KCA,N,mlb,Kansas City,Kansas City,Kansas City Royals,CL,America/Chicago,1,7,118,CT,Kansas City Royals,2022,American League,4:10:00 PM,,103,KC,KC,AL,CL,royals.mlb.com,64129,Major League Baseball,Kansas City,CT,One Royal Way,Royals,,2021,,ALC,Kansas City,118,Y,N,MO,,KC,C,kca,Royals,royals.com,MLB,1968,AL,Kansas City Royals,kansascity.royals.mlb.com,CDT,Kansas City,2021-04-01T00:00:00,MO,American League Central,-5,Cactus League,"One Royal Way&#xa;Kansas City, MO&#x9;64129",Royals,kc,202,114,Kauffman Stadium
(714) 940-2000,Angel Stadium,LAA,N,mlb,Anaheim,Anaheim,Los Angeles Angels,CL,America/Los_Angeles,1,1,108,PT,Los Angeles Angels,2022,American League,10:05:00 PM,,103,LAA,CAL,AL,CL,angels.mlb.com,92806,Major League Baseball,LA Angels,PT,2000 Gene Autry Way,Angels,,2021,,ALW,LA Angels,108,Y,N,CA,,LAA,W,ana,Angels,angels.com,MLB,1961,AL,Los Angeles Angels,losangeles.angels.mlb.com,PDT,LA Angels,2021-04-01T00:00:00,CA,American League West,-7,Cactus League,"2000 Gene Autry Way&#xa;Anaheim, CA&#x9;92806",Angels,ana,200,114,Angel Stadium
(612) 659-3400,Target Field,WS1,N,mlb,Minneapolis,Minneapolis,Minnesota Twins,GL,America/Chicago,1,3312,142,CT,Minnesota Twins,2022,American League,4:10:00 PM,,103,MIN,MIN,AL,GL,twins.mlb.com,55403,Major League Baseball,Minnesota,CT,1 Twins Way,Twins,,2021,,ALC,Minnesota,142,Y,N,MN,,MIN,C,min,Twins,twinsbaseball.com,MLB,1901,AL,Minnesota Twins,minnesota.twins.mlb.com,CDT,Minnesota,2021-04-08T00:00:00,MN,American League Central,-5,Grapefruit League,"1 Twins Way&#xa;Minneapolis, MN&#x9;55403",Twins,min,202,115,Target Field
(718) 293-4300,Yankee Stadium,BLA,N,mlb,Bronx,Bronx,New York Yankees,GL,America/New_York,1,3313,147,ET,New York Yankees,2022,American League,1:05:00 PM,,103,NYY,NYY,AL,GL,yankees.mlb.com,10451,Major League Baseball,NY Yankees,ET,One East 161st Street,Yankees,,2021,,ALE,NY Yankees,147,Y,N,NY,,NYY,E,nya,Yankees,yankees.com,MLB,1903,AL,New York Yankees,newyork.yankees.mlb.com,EDT,NY Yankees,2021-04-01T00:00:00,NY,American League East,-4,Grapefruit League,"One East 161st Street&#xa;Bronx, NY&#x9;10451",Yankees,nyy,201,115,Yankee Stadium
